Day_num;high_temperature;low_temperature;precipitation(mm);high_temperature(avg);low_temperature(avg)
1;21;11;0;18;10
2;21;11;1;18;10
3;19;14;4;18;10
4;16;10;1;18;10
5;23;8;0;17;10
6;23;11;0;17;10
7;22;18;1;17;9
8;25;17;0;17;9
9;23;14;0;17;9
10;24;13;0;17;9
11;20;8;0;17;9
12;26;7;0;16;9
13;30;16;0;16;9
14;29;16;0;16;9
15;27;14;0;16;9
16;24;14;0;16;9
17;19;8;0;16;9
18;19;6;0;16;9
19;18;5;0;15;9
20;20;11;0;15;8
21;20;11;1;15;8
22;21;10;5;15;8
23;19;9;2;15;8
24;20;7;0;15;8
25;23;12;0;15;8
26;21;7;0;14;8
27;21;4;0;14;8
28;18;15;3;14;8
29;19;12;5;14;8
30;15;9;5;14;8
