"t";"MW";"MP";"SP";"Tem";"Pre";"iMW";"iMP";"iSP";"iTem";"iPre";"operation";"dayLeft";"optAction";"weight";"scenario"
1;30;1;0,0990113978035109;13,19;0;6;3;2;1;0;1;6;"do.";32,5631;1
2;27,20236500187;1,0643089366328;0,0999412692950098;16,71;0;5;4;3;3;0;1;5;"do.";30,8526;1
3;26,2899131488264;0,987774707446575;0,10897279138403;16,25;0;5;3;3;3;0;1;4;"do.";29,1377;1
4;24,5617264140224;1,03453930685126;0,112034292626262;15,53;0;5;3;3;2;0;1;3;"do.";27,4255;1
5;21,5251379363625;1,01027094588407;0,118091041334523;15,02;0;4;3;3;2;0;1;2;"pos.";25,1588;1
6;21,1839361969034;0,951601861839145;0,130974496302288;16,44;0;4;2;3;3;0;1;2;"pos.";24,9684;1
7;21,5962384024904;1,02741678508162;0,133702545347227;16,49;0;4;3;3;3;0;1;2;"pos.";24,7308;1
8;17,4304854834257;1,07753817093197;0,131876732273323;14,67;0;3;4;3;2;0;1;2;"pos.";24,402;1
9;15,7768109070038;0,910572275965145;0,153727035212154;17,13;0;3;2;3;3;0;1;2;"pos.";24,3188;1
10;16,0230838994905;0,946974453170648;0,167502355767273;15,98;4,8;3;2;3;2;3;1;2;"pos.";23,9907;1
11;19,7832229228472;1,04232688661443;0,13532820113127;18,9;5,9;4;3;3;4;4;1;2;"pos.";23,7161;1
12;24,3528437162849;1,00727098569059;0,113581757939563;14,79;3,8;4;3;3;2;3;1;2;"pos.";23,3914;1
13;24,5729895018668;1,00552357383476;0,104346474313732;15,91;0;5;3;3;2;0;1;2;"do.";23,8017;1
14;23,9407159855657;0,93527011559138;0,117930099985326;17,04;0;4;2;3;3;0;1;1;"pos.";21,532;1
15;22,6111828265396;1,02396752440573;0,121222363700401;16,8;5,1;4;3;3;3;3;1;1;"pos.";20,9215;1
16;27,9045551730142;1,01740144856772;0,106037921665731;16,26;0;5;3;3;3;0;1;1;"do.";21,3769;1
17;25,6380716060389;1,05939478980045;0,106815356222963;16,39;0;5;4;3;3;0;2;4;"do.";19,6604;1
18;20,7075610614281;1,0025846531552;0,114270803878493;17,33;0;4;3;3;3;0;2;3;"pos.";17,3076;1
19;23,1713839359201;0,892152138840096;0,135524466754976;16,35;0;4;1;3;3;0;2;3;"doF.";17,0694;1
20;19,3526309930465;1,12709657406422;0,124823998363549;16,2;4,6;3;5;3;2;3;2;2;"doF.";15,0955;1
21;22,8535944240437;0,939863425488164;0,119544298700144;16,96;0;4;2;3;3;0;2;1;"doF.";13,6644;1
22;23,5763576145265;0,99463712300423;0,125760081275481;17,03;0;4;3;3;3;0;3;4;"doF.";11,9569;1
23;18,8187032216326;1,08495009786536;0,122983611440011;16,48;0;3;4;3;3;0;3;3;"doF.";10,5603;1
24;19,8413385657473;0,901706873423326;0,145609784594976;16,77;0;4;1;3;3;0;3;2;"doF.";8,95332;1
25;17,2903763097493;1,06674400403665;0,141464583056264;16,85;0;3;4;3;3;0;3;1;"doF.";7,42701;1
26;14,5798373454997;0,96540509189511;0,156145069042727;15,68;6,8;3;2;3;2;4;4;4;"doF.";5,96844;1
27;23,2658562946329;0,921298765630266;0,131240806753106;17,64;0;4;2;3;3;0;4;3;"doF.";4,22794;1
28;21,0314411861221;1,09359863170572;0,124703852509838;15;0;4;4;3;2;0;4;2;"doF.";2,80021;1
29;20,5346019057305;0,996929470993609;0,133625479553632;16,19;0;4;3;3;2;0;4;1;"doF.";1,31283;1
30;17,8307182912313;1,03061571621924;0,136965706892427;19,85;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;1
