"t";"MW";"MP";"SP";"Tem";"Pre";"iMW";"iMP";"iSP";"iTem";"iPre";"operation";"dayLeft";"optAction";"weight";"scenario"
1;30;1;0,0916263193094917;10,71;2,4;6;3;2;0;2;1;6;"do.";32,5278;3
2;29,7380075139291;0,98523254245246;0,092255238601857;11,8;4,3;6;3;3;1;3;1;5;"do.";30,7806;3
3;33,2014999692114;0,975707422738622;0,08824267969098;11,33;2;6;3;3;1;2;1;4;"do.";29,1064;3
4;32,2155602089811;1,0281379543705;0,0873438716077717;12,43;0;6;3;3;1;0;1;3;"do.";27,4235;3
5;29,5372688081933;0,996766775384166;0,0945107619960087;14,12;3,7;6;3;3;2;3;1;2;"do.";25,6557;3
6;30,4727798681485;0,995759542633732;0,0907570722916026;9,6;4;6;3;3;0;3;1;1;"do.";23,9373;3
7;33,2579620630132;0,981510888155193;0,0869841785429187;13,79;0;6;3;3;2;0;2;4;"do.";22,2773;3
8;32,2095474047907;1,01590640656995;0,0929369137950824;12,81;0;6;3;3;1;0;2;3;"do.";20,5553;3
9;28,8224883743255;1,0591062517401;0,0947190157428017;14,4;11,2;5;4;3;2;5;2;2;"do.";18,7464;3
10;37,9386130365358;0,98376326066027;0,0757842800982039;9,28;9;7;3;3;0;5;2;1;"pos.";16,547;3
11;41,0202245357291;0,997852809388448;0,0706032743744546;11,07;2,4;8;3;2;0;2;2;1;"pos.";16,4657;3
12;34,4822708496816;1,00208480842205;0,083944308020608;16,78;5,5;6;3;3;3;4;2;1;"do.";16,7146;3
13;36,6779397390064;1,01735806836989;0,0794528798285769;14,3;0;7;3;3;2;0;3;4;"pos.";14,5916;3
14;31,3719643307206;1,01827068880276;0,0884809824424216;10,54;0;6;3;3;0;0;3;4;"do.";14,9057;3
15;29,9831094100552;0,98646768782762;0,0957459477625095;9,46;2,7;6;3;3;0;3;3;3;"do.";13,1571;3
16;28,6059698861386;1,02052615006956;0,0912383093957008;12,57;6,7;5;3;3;1;4;3;2;"do.";11,4579;3
17;34,1205131660789;0,935990493245147;0,0849762768468119;11,74;0;6;2;3;1;0;3;1;"do.";9,75463;3
18;30,5688651314491;1,01100991410952;0,0908806269723628;12,01;0;6;3;3;1;0;4;4;"do.";8,05082;3
19;29,3055868797638;0,988789943782552;0,0980522333609981;13,84;0;5;3;3;2;0;4;3;"do.";6,35115;3
20;26,884124069889;1,02427806564458;0,10191957497816;8,69;3,9;5;3;3;0;3;4;2;"do.";4,70091;3
21;30,5690270478972;0,992016880005886;0,0951720746725383;12,86;0;6;3;3;1;0;4;1;"do.";3;3
22;26,2519697389236;1,03039401225069;0,0983794357268633;11,75;5,5;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
23;30,8037075136917;0,939383982224472;0,0929983447273498;14,35;2,5;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
24;32,1070589930022;1,00806887593555;0,0912768168308841;11,35;8,7;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
25;38,0797350165843;1,03554571673283;0,0751049432131658;10,04;2;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
26;35,466575849296;0,996744633275235;0,0823596894061153;12,4;4,5;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
27;36,4459888566257;1,02281034241649;0,0794857822977877;11,54;6,3;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
28;39,0501757729259;1,01349816050144;0,0753970567025109;12,57;1,1;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
29;31,9950927428004;1,02343537843078;0,0848264957152043;13,93;2,2;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
30;31,3570741997809;0,963195610885118;0,0895397869814091;13,92;0;NA;NA;NA;NA;NA;NA;NA;"NULL";NA;3
